ID2,Year,Season,TopDepth,BottomDepth,GravimetricWaterContent,Nitrate,Ammonia
1,2000,Spring,0,1,,,
2,2000,Spring,0,1,,,
3,2000,Spring,0,1,,,
4,2000,Spring,0,1,,,
5,2000,Spring,0,1,,,
6,2000,Spring,0,1,,,
7,2000,Spring,0,1,,,
8,2000,Spring,0,1,,,
9,2000,Spring,0,1,,,
10,2000,Spring,0,1,0.2322402000427246,6.1931070230041225,0.5269299541541018
11,2000,Spring,0,1,0.22676992416381836,4.062006433419905,0.8057295096579976
12,2000,Spring,0,1,0.22360724210739136,5.01275893679725,0.3879684412274781
13,2000,Spring,0,1,0.22704048454761505,4.549672497752474,0.4799511860671504
14,2000,Spring,0,1,0.2849017083644867,9.423862567443585,0.6067816760054521
15,2000,Spring,0,1,0.29426026344299316,5.268805651739897,1.507897923869392
16,2000,Spring,0,1,,,
17,2000,Spring,0,1,,,
18,2000,Spring,0,1,,,
19,2000,Spring,0,1,,,
20,2000,Spring,0,1,,,
21,2000,Spring,0,1,,,
22,2000,Spring,0,1,,,
23,2000,Spring,0,1,,,
24,2000,Spring,0,1,,,
25,2000,Spring,0,1,,,
26,2000,Spring,0,1,,,
27,2000,Spring,0,1,,,
28,2000,Spring,0,1,,,
29,2000,Spring,0,1,,,
30,2000,Spring,0,1,,,
31,2000,Spring,0,1,0.2645452320575714,3.8001311151645596,1.9106477512802618
32,2000,Spring,0,1,0.23296068608760834,5.631615738492749,0.90104131787348
33,2000,Spring,0,1,0.221113383769989,10.54941357467749,0.5783314505189053
34,2000,Spring,0,1,0.22627224028110504,8.240895687517382,3.8045501960816877
35,2000,Spring,0,1,0.2340889722108841,6.3448721780732455,1.3830106870800623
36,2000,Spring,0,1,0.2867836654186249,10.879552529720609,0.3294701347623575
37,2000,Spring,0,1,0.2844144403934479,2.7880300252717873,0.0
38,2000,Spring,0,1,0.29644879698753357,9.893518069989707,0.0
39,2000,Spring,0,1,,,
40,2000,Spring,0,1,,,
41,2000,Spring,0,1,,,
42,2000,Spring,0,1,,,
43,2000,Spring,0,1,,,
44,2000,Spring,0,1,,,
45,2000,Spring,0,1,,,
46,2000,Spring,0,1,,,
47,2000,Spring,0,1,,,
48,2000,Spring,0,1,,,
49,2000,Spring,0,1,,,
50,2000,Spring,0,1,,,
51,2000,Spring,0,1,,,
52,2000,Spring,0,1,,,
53,2000,Spring,0,1,,,
54,2000,Spring,0,1,0.2865670919418335,3.879618933827473,2.143178215812535
55,2000,Spring,0,1,0.2275690883398056,5.074116122265743,0.7372909333953008
56,2000,Spring,0,1,0.23910944163799286,7.3843316591660315,1.8172516493362993
57,2000,Spring,0,1,0.23314720392227173,14.625641810862325,9.421918159938826
58,2000,Spring,0,1,0.23864999413490295,7.932033625937765,0.0
59,2000,Spring,0,1,0.25929495692253113,8.225082323756467,1.1795773250003276
60,2000,Spring,0,1,0.27105724811553955,6.069701970100212,0.5824480547644324
61,2000,Spring,0,1,0.3674810528755188,12.072331411933497,1.2777563594059453
62,2000,Spring,0,1,,,
63,2000,Spring,0,1,,,
64,2000,Spring,0,1,,,
65,2000,Spring,0,1,,,
66,2000,Spring,0,1,,,
67,2000,Spring,0,1,,,
68,2000,Spring,0,1,,,
69,2000,Spring,0,1,,,
70,2000,Spring,0,1,,,
71,2000,Spring,0,1,,,
72,2000,Spring,0,1,,,
73,2000,Spring,0,1,,,
74,2000,Spring,0,1,,,
75,2000,Spring,0,1,,,
76,2000,Spring,0,1,,,
