Year,ID2,Latitude,Longitude,TopDepth,BottomDepth,BulkDensity,Notes
1998.0,3.0,46.77879099993472,-117.08667799999922,0,1,1.4100577667067484,
1998.0,3.0,46.77879099993472,-117.08667799999922,1,2,1.4387603334093544,
1998.0,3.0,46.77879099993472,-117.08667799999922,2,3,1.6193864789405759,
1998.0,3.0,46.77879099993472,-117.08667799999922,3,4,1.6400485580244677,
1998.0,3.0,46.77879099993472,-117.08667799999922,4,5,1.64,
1998.0,5.0,46.77866599993601,-117.08584199999686,0,1,1.3749277326504725,
1998.0,5.0,46.77866599993601,-117.08584199999686,1,2,1.3305880261003118,
1998.0,5.0,46.77866599993601,-117.08584199999686,2,3,1.3522161516046738,
1998.0,5.0,46.77866599993601,-117.08584199999686,3,4,1.4994731668045351,
1998.0,5.0,46.77866599993601,-117.08584199999686,4,5,1.5315621526449732,
1998.0,7.0,46.77863199993578,-117.08500599999628,0,1,1.4429653954494086,
1998.0,7.0,46.77863199993578,-117.08500599999628,1,2,1.2767874077873471,
1998.0,7.0,46.77863199993578,-117.08500599999628,2,3,1.4005332996664317,
1998.0,7.0,46.77863199993578,-117.08500599999628,3,4,1.4847092805521311,
1998.0,7.0,46.77863199993578,-117.08500599999628,4,5,1.4993807489987243,
1998.0,9.0,46.778673999933,-117.08416999999837,0,1,1.4734877708136445,
1998.0,9.0,46.778673999933,-117.08416999999837,1,2,1.3298123600358887,
1998.0,9.0,46.778673999933,-117.08416999999837,2,3,1.419344785681107,
1998.0,9.0,46.778673999933,-117.08416999999837,3,4,1.4562706453032024,
1998.0,9.0,46.778673999933,-117.08416999999837,4,5,1.455243607093288,
1998.0,11.0,46.778657999932655,-117.08333399999815,0,1,1.435203328833452,
1998.0,11.0,46.778657999932655,-117.08333399999815,1,2,1.3714032227741584,
1998.0,11.0,46.778657999932655,-117.08333399999815,2,3,1.4942825919097324,
1998.0,11.0,46.778657999932655,-117.08333399999815,3,4,1.6700249615108425,
1998.0,11.0,46.778657999932655,-117.08333399999815,4,5,1.679337625562176,
1998.0,13.0,46.778763999934995,-117.08249800000364,0,1,1.3512400518022354,
1998.0,13.0,46.778763999934995,-117.08249800000364,1,2,1.4450530405916546,
1998.0,13.0,46.778763999934995,-117.08249800000364,2,3,1.530740476343332,
1998.0,13.0,46.778763999934995,-117.08249800000364,3,4,1.6184238462009453,
1998.0,13.0,46.778763999934995,-117.08249800000364,4,5,1.6381616441713662,
1998.0,15.0,46.778706999934904,-117.08124400000357,0,1,1.2604917249672811,
1998.0,15.0,46.778706999934904,-117.08124400000357,1,2,1.3781235393969054,
1998.0,15.0,46.778706999934904,-117.08124400000357,2,3,1.5974716737451455,
1998.0,15.0,46.778706999934904,-117.08124400000357,3,4,1.6561737836623363,
1998.0,15.0,46.778706999934904,-117.08124400000357,4,5,1.6705351860814843,
1998.0,17.0,46.77879699993179,-117.07998999999813,0,1,1.3325337995555395,
1998.0,17.0,46.77879699993179,-117.07998999999813,1,2,1.0744432776246926,
1998.0,17.0,46.77879699993179,-117.07998999999813,2,3,1.1727946356973815,
1998.0,17.0,46.77879699993179,-117.07998999999813,3,4,1.512193702009989,
1998.0,17.0,46.77879699993179,-117.07998999999813,4,5,1.512193702009989,
1998.0,19.0,46.778826619173316,-117.08846626321173,0,1,1.5629536678082299,
1998.0,19.0,46.778826619173316,-117.08846626321173,1,2,1.5390172430942117,
1998.0,19.0,46.778826619173316,-117.08846626321173,2,3,1.6203084553282192,
1998.0,19.0,46.778826619173316,-117.08846626321173,3,4,1.6416269791818179,
1998.0,19.0,46.778826619173316,-117.08846626321173,4,5,1.6312658415783965,
1998.0,21.0,46.778841999931366,-117.08764599999685,0,1,1.3318436615714033,
1998.0,21.0,46.778841999931366,-117.08764599999685,1,2,1.2820115637654226,
1998.0,21.0,46.778841999931366,-117.08764599999685,2,3,1.2661046489054082,
1998.0,21.0,46.778841999931366,-117.08764599999685,3,4,1.3132812939193732,
1998.0,21.0,46.778841999931366,-117.08764599999685,4,5,1.4341243946410558,
1998.0,23.0,46.77900277872107,-117.08683096836631,0,1,1.4303801223454298,
1998.0,23.0,46.77900277872107,-117.08683096836631,1,2,1.4913785623705325,
1998.0,23.0,46.77900277872107,-117.08683096836631,2,3,1.5516716767409968,
1998.0,23.0,46.77900277872107,-117.08683096836631,3,4,1.5942758468771745,
1998.0,23.0,46.77900277872107,-117.08683096836631,4,5,1.6361331771708159,
1998.0,25.0,46.779046999935034,-117.08597400000059,0,1,1.3399500926912697,
1998.0,25.0,46.779046999935034,-117.08597400000059,1,2,1.4298589402588604,
1998.0,25.0,46.779046999935034,-117.08597400000059,2,3,1.5797680523761921,
1998.0,25.0,46.779046999935034,-117.08597400000059,3,4,1.6177578304234335,
1998.0,25.0,46.779046999935034,-117.08597400000059,4,5,1.6480289018145635,
1998.0,27.0,46.779062819066674,-117.08511703761205,0,1,1.2751563439355404,
1998.0,27.0,46.779062819066674,-117.08511703761205,1,2,1.3817364376814159,
1998.0,27.0,46.779062819066674,-117.08511703761205,2,3,1.3469012240732254,
1998.0,27.0,46.779062819066674,-117.08511703761205,3,4,1.3038051244823734,
1998.0,27.0,46.779062819066674,-117.08511703761205,4,5,1.2841881592336137,
1998.0,29.0,46.7790069999304,-117.0843020000047,0,1,1.3299596657137336,
1998.0,29.0,46.7790069999304,-117.0843020000047,1,2,1.416771906483704,
1998.0,29.0,46.7790069999304,-117.0843020000047,2,3,1.4024364725166782,
1998.0,29.0,46.7790069999304,-117.0843020000047,3,4,1.4485873515042642,
1998.0,29.0,46.7790069999304,-117.0843020000047,4,5,1.490133839809204,
1998.0,31.0,46.77902299993373,-117.08346599999622,0,1,1.3474026780994555,
1998.0,31.0,46.77902299993373,-117.08346599999622,1,2,1.4044198589971708,
1998.0,31.0,46.77902299993373,-117.08346599999622,2,3,1.4945166904096974,
1998.0,31.0,46.77902299993373,-117.08346599999622,3,4,1.6366234719059405,
1998.0,31.0,46.77902299993373,-117.08346599999622,4,5,1.6256579585127275,
1998.0,33.0,46.77901299993611,-117.08263000000014,0,1,1.328375579007485,
1998.0,33.0,46.77901299993611,-117.08263000000014,1,2,1.3423358571774326,
1998.0,33.0,46.77901299993611,-117.08263000000014,2,3,1.4046557265396036,
1998.0,33.0,46.77901299993611,-117.08263000000014,3,4,1.493656650803207,
1998.0,33.0,46.77901299993611,-117.08263000000014,4,5,1.5063244090910826,
1998.0,35.0,46.77885199993585,-117.08179400000536,0,1,1.4251656960870653,
1998.0,35.0,46.77885199993585,-117.08179400000536,1,2,1.4215017412141413,
1998.0,35.0,46.77885199993585,-117.08179400000536,2,3,1.6723513461047856,
1998.0,35.0,46.77885199993585,-117.08179400000536,3,4,1.606815552130692,
1998.0,35.0,46.77885199993585,-117.08179400000536,4,5,1.6062928222093158,
1998.0,37.0,46.7789929999345,-117.08095799999668,0,1,1.4009780953909718,
1998.0,37.0,46.7789929999345,-117.08095799999668,1,2,1.4044851095307034,
1998.0,37.0,46.7789929999345,-117.08095799999668,2,3,1.5448337804698506,
1998.0,37.0,46.7789929999345,-117.08095799999668,3,4,1.6611729191987743,
1998.0,37.0,46.7789929999345,-117.08095799999668,4,5,1.699599340226952,
1998.0,39.0,46.779111999935864,-117.08012199999722,0,1,1.5319200351385218,
1998.0,39.0,46.779111999935864,-117.08012199999722,1,2,1.5309462749562008,
1998.0,39.0,46.779111999935864,-117.08012199999722,2,3,1.601352219831982,
1998.0,39.0,46.779111999935864,-117.08012199999722,3,4,1.6562597588670591,
1998.0,39.0,46.779111999935864,-117.08012199999722,4,5,1.7131785615578217,
1998.0,41.0,46.77904699992864,-117.0792860000058,0,1,1.1976838121778466,
1998.0,41.0,46.77904699992864,-117.0792860000058,1,2,1.1869861879765518,
1998.0,41.0,46.77904699992864,-117.0792860000058,2,3,1.4645065910863793,
1998.0,41.0,46.77904699992864,-117.0792860000058,3,4,1.5504701658875373,
1998.0,41.0,46.77904699992864,-117.0792860000058,4,5,1.5753005965983826,
