,BottomDepth,BottomDepthFt,BottomDepthWeighted,BulkDensity,BulkDensityPerIncrement,BulkDensityWeighted,DepthIncrementBottom,DepthIncrementTop,ID2,Latitude,Longitude,Notes,TopDepth,TopDepthFt,TopDepthWeighted,Weight,Year
0,10.0,0.32808400000000004,0.32808400000000004,1.41,1.4100577667067484,0.46259844000000006,1,0,3.0,46.77879099993472,-117.08667799999922,,0.0,0.0,0.0,0.32808400000000004,1998.0
1,20.0,0.6561680000000001,0.6561680000000001,1.41,1.4100577667067484,0.46259844000000006,1,0,3.0,46.77879099993472,-117.08667799999922,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
2,30.0,0.984252,0.984252,1.4142692802498569,1.4100577667067484,0.46399912254149395,1,0,3.0,46.77879099993472,-117.08667799999922,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
3,39.0,1.2795276,1.0,1.3247246739429994,1.4100577667067484,0.020861764165254332,1,0,3.0,46.77879099993472,-117.08667799999922,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
3,39.0,1.2795276,1.2795276,1.3247246739429994,1.4387603334093544,0.37029710876806915,2,1,3.0,46.77879099993472,-117.08667799999922,,30.0,0.984252,1.0,0.2795276,1998.0
4,65.0,2.132546,2.0,1.483003685694671,1.4387603334093544,1.0684632246412853,2,1,3.0,46.77879099993472,-117.08667799999922,,39.0,1.2795276,1.2795276,0.7204724,1998.0
4,65.0,2.132546,2.132546,1.483003685694671,1.6193864789405759,0.19656620652408593,3,2,3.0,46.77879099993472,-117.08667799999922,,39.0,1.2795276,2.0,0.13254600000000005,1998.0
5,98.0,3.2152232,3.0,1.6402256170546106,1.6193864789405759,1.42282027241649,3,2,3.0,46.77879099993472,-117.08667799999922,,65.0,2.132546,2.132546,0.867454,1998.0
5,98.0,3.2152232,3.2152232,1.6402256170546106,1.6400485580244677,0.35301460602446794,4,3,3.0,46.77879099993472,-117.08667799999922,,65.0,2.132546,3.0,0.21522320000000006,1998.0
6,153.0,5.0196852000000005,4.0,1.64,1.6400485580244677,1.2870339519999998,4,3,3.0,46.77879099993472,-117.08667799999922,,98.0,3.2152232,3.2152232,0.7847767999999999,1998.0
6,153.0,5.0196852000000005,5.0,1.64,1.64,1.64,5,4,3.0,46.77879099993472,-117.08667799999922,,98.0,3.2152232,4.0,1.0,1998.0
7,10.0,0.32808400000000004,0.32808400000000004,1.37575028197322,1.3749277326504725,0.45136165551090196,1,0,5.0,46.77866599993601,-117.08584199999686,,0.0,0.0,0.0,0.32808400000000004,1998.0
8,20.0,0.6561680000000001,0.6561680000000001,1.37575028197322,1.3749277326504725,0.45136165551090196,1,0,5.0,46.77866599993601,-117.08584199999686,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
9,30.0,0.984252,0.984252,1.37575028197322,1.3749277326504725,0.4513616555109018,1,0,5.0,46.77866599993601,-117.08584199999686,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
10,42.0,1.3779528,1.0,1.3235182955147846,1.3749277326504725,0.02084276611776681,1,0,5.0,46.77866599993601,-117.08584199999686,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
10,42.0,1.3779528,1.3779528,1.3235182955147846,1.3305880261003118,0.5002274456410404,2,1,5.0,46.77866599993601,-117.08584199999686,,30.0,0.984252,1.0,0.3779528000000001,1998.0
11,66.0,2.1653544,2.0,1.334883559413613,1.3305880261003118,0.8303605804592715,2,1,5.0,46.77866599993601,-117.08584199999686,,42.0,1.3779528,1.3779528,0.6220471999999999,1998.0
11,66.0,2.1653544,2.1653544,1.334883559413613,1.3522161516046738,0.22072887003670236,3,2,5.0,46.77866599993601,-117.08584199999686,,42.0,1.3779528,2.0,0.1653544,1998.0
12,97.0,3.1824148,3.0,1.3556499687627557,1.3522161516046738,1.1314872815679715,3,2,5.0,46.77866599993601,-117.08584199999686,,66.0,2.1653544,2.1653544,0.8346456,1998.0
12,97.0,3.1824148,3.1824148,1.3556499687627557,1.4994731668045351,0.24729061792186446,4,3,5.0,46.77866599993601,-117.08584199999686,,66.0,2.1653544,3.0,0.1824148000000001,1998.0
13,153.0,5.0196852000000005,4.0,1.5315621526449732,1.4994731668045351,1.2521825488826708,4,3,5.0,46.77866599993601,-117.08584199999686,,97.0,3.1824148,3.1824148,0.8175851999999999,1998.0
13,153.0,5.0196852000000005,5.0,1.5315621526449732,1.5315621526449732,1.5315621526449732,5,4,5.0,46.77866599993601,-117.08584199999686,,97.0,3.1824148,4.0,1.0,1998.0
14,10.0,0.32808400000000004,0.32808400000000004,1.4325455447558468,1.4429653954494086,0.4699952725056773,1,0,7.0,46.77863199993578,-117.08500599999628,,0.0,0.0,0.0,0.32808400000000004,1998.0
15,20.0,0.6561680000000001,0.6561680000000001,1.4325455447558468,1.4429653954494086,0.4699952725056773,1,0,7.0,46.77863199993578,-117.08500599999628,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
16,30.0,0.984252,0.984252,1.4717816240359756,1.4429653954494086,0.4828680023402189,1,0,7.0,46.77863199993578,-117.08500599999628,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
17,66.0,2.1653544,1.0,1.2767874077873471,1.4429653954494086,0.020106848097835122,1,0,7.0,46.77863199993578,-117.08500599999628,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
17,66.0,2.1653544,2.0,1.2767874077873471,1.2767874077873471,1.2767874077873471,2,1,7.0,46.77863199993578,-117.08500599999628,,30.0,0.984252,1.0,1.0,1998.0
17,66.0,2.1653544,2.1653544,1.2767874077873471,1.4005332996664317,0.21112241574223212,3,2,7.0,46.77863199993578,-117.08500599999628,,30.0,0.984252,2.0,0.1653544,1998.0
18,84.0,2.7559056,2.7559056,1.4159183273401346,1.4005332996664317,0.8361722673127095,3,2,7.0,46.77863199993578,-117.08500599999628,,66.0,2.1653544,2.1653544,0.5905512000000002,1998.0
19,100.0,3.28084,3.0,1.4471393715361365,1.4005332996664317,0.35323861661149003,3,2,7.0,46.77863199993578,-117.08500599999628,,84.0,2.7559056,2.7559056,0.24409439999999982,1998.0
19,100.0,3.28084,3.28084,1.4471393715361365,1.4847092805521311,0.40641462110220855,4,3,7.0,46.77863199993578,-117.08500599999628,,84.0,2.7559056,3.0,0.28084,1998.0
20,153.0,5.0196852000000005,4.0,1.4993807489987243,1.4847092805521311,1.0782946594499225,4,3,7.0,46.77863199993578,-117.08500599999628,,100.0,3.28084,3.28084,0.71916,1998.0
20,153.0,5.0196852000000005,5.0,1.4993807489987243,1.4993807489987243,1.4993807489987243,5,4,7.0,46.77863199993578,-117.08500599999628,,100.0,3.28084,4.0,1.0,1998.0
21,10.0,0.32808400000000004,0.32808400000000004,1.4689168619048278,1.4734877708136445,0.4819281197211836,1,0,9.0,46.778673999933,-117.08416999999837,,0.0,0.0,0.0,0.32808400000000004,1998.0
22,20.0,0.6561680000000001,0.6561680000000001,1.4689168619048278,1.4734877708136445,0.4819281197211836,1,0,9.0,46.778673999933,-117.08416999999837,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
23,30.0,0.984252,0.984252,1.4907592216224506,1.4734877708136445,0.48909424846677996,1,0,9.0,46.778673999933,-117.08416999999837,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
24,47.0,1.5419948,1.0,1.3041200726757154,1.4734877708136445,0.020537282904497144,1,0,9.0,46.778673999933,-117.08416999999837,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
24,47.0,1.5419948,1.5419948,1.3041200726757154,1.3298123600358887,0.7068262979658599,2,1,9.0,46.778673999933,-117.08416999999837,,30.0,0.984252,1.0,0.5419948000000001,1998.0
25,73.0,2.3950132,2.0,1.3602161330701679,1.3298123600358887,0.6229860620700287,2,1,9.0,46.778673999933,-117.08416999999837,,47.0,1.5419948,1.5419948,0.4580051999999999,1998.0
25,73.0,2.3950132,2.3950132,1.3602161330701679,1.419344785681107,0.5373033274156731,3,2,9.0,46.778673999933,-117.08416999999837,,47.0,1.5419948,2.0,0.3950132000000002,1998.0
26,103.0,3.3792652000000003,3.0,1.4579515755805486,1.419344785681107,0.882041458265434,3,2,9.0,46.778673999933,-117.08416999999837,,73.0,2.3950132,2.3950132,0.6049867999999998,1998.0
26,103.0,3.3792652000000003,3.3792652000000003,1.4579515755805486,1.4562706453032024,0.5529502959028723,4,3,9.0,46.778673999933,-117.08416999999837,,73.0,2.3950132,3.0,0.3792652000000003,1998.0
